gene
CD3D
CD99
MAD1L1
FYN
TYROBP
DPEP1
BIRC5
LYZ
GZMK
GNLY
CD2
CCR7
TOP2A
FCRLA
ACY3
RARRES3
KLRD1
HRK
IFI44L
PARP9
S100A8
NFKBIZ
PLAC8
CD8A
CD4
CXCL13
CCNB2
FCER1G
LY6E
GBP4
DEPP1
